dataset,metric,MLP,SGD,KNN,SVM,GradBst,NB,DT,RndmFor
X_mqi_datos,accuracy,0.71827,0.72305,0.65597,0.72543,0.7015,0.27773,0.60974,0.70867
X_mqi_datos,precision,0.52399,0.47086,0.49224,0.46938,0.52446,0.5268,0.46266,0.56177
X_mqi_datos,recall,0.48326,0.4704,0.46321,0.47775,0.46716,0.37084,0.46608,0.47696
X_mqi_datos,roc_auc,0.75701,0.74925,0.66553,0.72795,0.73205,0.66977,0.60796,0.7297
X_mqi_datos,f1,0.47693,0.45488,0.46751,0.46077,0.46599,0.21242,0.46242,0.47959
X_cor_pear,accuracy,0.66636,0.67992,0.60491,0.66796,0.66237,0.67594,0.6169,0.64564
X_cor_pear,precision,0.43881,0.37914,0.40499,0.22265,0.42996,0.36872,0.42451,0.44836
X_cor_pear,recall,0.35787,0.38756,0.39738,0.33333,0.38018,0.39267,0.40493,0.4062
X_cor_pear,roc_auc,0.68282,0.68564,0.60914,0.53064,0.66462,0.68595,0.59264,0.61559
X_cor_pear,f1,0.31584,0.35967,0.39328,0.26688,0.36516,0.36526,0.4062,0.40856
X_cor_ols,accuracy,0.72464,0.72864,0.66397,0.72305,0.7023,0.66716,0.60252,0.71266
X_cor_ols,precision,0.53073,0.47259,0.48779,0.46729,0.53539,0.49001,0.44795,0.57655
X_cor_ols,recall,0.49452,0.48363,0.47299,0.46975,0.479,0.47368,0.44764,0.48492
X_cor_ols,roc_auc,0.76635,0.75531,0.67183,0.71893,0.73769,0.70838,0.59368,0.73112
X_cor_ols,f1,0.48148,0.46583,0.47243,0.45382,0.48295,0.45822,0.4465,0.49315
X_forest,accuracy,0.71906,0.71586,0.65838,0.72305,0.69912,0.66796,0.59378,0.71028
X_forest,precision,0.51634,0.45903,0.50829,0.46589,0.52596,0.49395,0.43963,0.56136
X_forest,recall,0.48067,0.46122,0.47825,0.46871,0.46981,0.47926,0.4378,0.49074
X_forest,roc_auc,0.76487,0.75538,0.66445,0.72599,0.73775,0.70602,0.58505,0.73525
X_forest,f1,0.46963,0.44518,0.48474,0.45265,0.46881,0.46509,0.43665,0.49808
X_pca_95,accuracy,0.68311,0.65997,0.51567,0.66716,0.52997,0.68071,0.49174,0.55077
X_pca_95,precision,0.3824,0.46257,0.39748,0.2449,0.44804,0.39849,0.39865,0.41968
X_pca_95,recall,0.39567,0.40198,0.402,0.33424,0.39744,0.39538,0.39873,0.40174
X_pca_95,roc_auc,0.69101,0.65772,0.57858,0.60913,0.65432,0.67916,0.55561,0.64014
X_pca_95,f1,0.36913,0.3695,0.36759,0.26975,0.34837,0.37191,0.36837,0.36766
X_mqi_norm,accuracy,0.71188,0.71906,0.65682,0.72384,0.70068,0.51869,0.58979,0.70627
X_mqi_norm,precision,0.48904,0.45588,0.46541,0.46064,0.54964,0.52025,0.44539,0.55869
X_mqi_norm,recall,0.47721,0.4739,0.46373,0.48521,0.48017,0.48087,0.45394,0.48055
X_mqi_norm,roc_auc,0.74879,0.74913,0.66314,0.68302,0.73319,0.68301,0.59528,0.73222
X_mqi_norm,f1,0.45992,0.45374,0.45744,0.4637,0.49135,0.45288,0.44692,0.48746
X_svm,accuracy,0.71268,0.71985,0.6536,0.72225,0.70551,0.1844,0.61211,0.70787
X_svm,precision,0.61927,0.46516,0.496,0.46409,0.54105,0.36395,0.46286,0.55387
X_svm,recall,0.50546,0.46577,0.46642,0.47158,0.47997,0.33827,0.46166,0.47593
X_svm,roc_auc,0.76029,0.75634,0.65791,0.72814,0.73723,0.70185,0.60407,0.73628
X_svm,f1,0.49975,0.4501,0.47187,0.45449,0.47869,0.12422,0.4597,0.48156
X_selected_4,accuracy,0.71986,0.72226,0.6592,0.72543,0.70152,0.69911,0.58102,0.6911
X_selected_4,precision,0.49909,0.46226,0.49086,0.47104,0.54356,0.5372,0.44006,0.51738
X_selected_4,recall,0.47817,0.47687,0.4813,0.47196,0.47377,0.44749,0.44107,0.47331
X_selected_4,roc_auc,0.75527,0.75006,0.64998,0.72892,0.72594,0.71222,0.5883,0.69937
X_selected_4,f1,0.46779,0.45827,0.47954,0.45674,0.47794,0.43507,0.43911,0.47686
X_selected_8,accuracy,0.72304,0.71347,0.66237,0.72464,0.70311,0.67994,0.58498,0.71425
X_selected_8,precision,0.5533,0.45346,0.51147,0.46938,0.54454,0.50952,0.43771,0.5774
X_selected_8,recall,0.48206,0.45848,0.4795,0.47052,0.47571,0.48759,0.43406,0.49322
X_selected_8,roc_auc,0.75716,0.75379,0.66444,0.72312,0.74422,0.71335,0.58471,0.7374
X_selected_8,f1,0.46995,0.44138,0.48594,0.4548,0.47666,0.47618,0.43334,0.49938
X_selected_all,accuracy,0.71905,0.71745,0.6536,0.72225,0.7063,0.1844,0.59298,0.71586
X_selected_all,precision,0.58194,0.46169,0.496,0.46409,0.54233,0.36395,0.4458,0.5726
X_selected_all,recall,0.48793,0.46533,0.46642,0.47158,0.47793,0.33827,0.44968,0.49135
X_selected_all,roc_auc,0.75611,0.75688,0.65791,0.72813,0.73601,0.70185,0.59408,0.7401
X_selected_all,f1,0.48823,0.44808,0.47187,0.45449,0.47757,0.12422,0.44574,0.49596
